usuario_id,data,plataforma,pais,tempo_assistido_mensal,qtd_titulos_assistidos,genero_favorito,avaliacao_usuario
1,2018-01-22,Disney+,Brasil,46.0,27,Comédia,3.9
1,2018-02-06,Disney+,Brasil,26.7,19,Comédia,3.9
1,2018-03-31,Disney+,Brasil,59.0,45,Comédia,4.4
1,2018-04-01,Disney+,Brasil,33.0,23,Comédia,3.6
1,2018-05-05,Disney+,Brasil,42.9,28,Comédia,3.2
1,2018-06-28,Disney+,Brasil,49.8,36,Comédia,3.4
1,2018-07-20,Disney+,Brasil,29.1,19,Comédia,3.2
1,2018-08-22,Disney+,Brasil,32.4,20,Comédia,4.1
1,2018-09-26,Disney+,Brasil,33.5,20,Comédia,3.9
1,2018-10-15,Disney+,Brasil,32.8,24,Comédia,4.2
1,2018-11-02,Disney+,Brasil,32.8,24,Comédia,4.6
1,2018-12-05,Disney+,Brasil,33.6,19,Comédia,3.8
2,2018-01-03,Netflix,Alemanha,72.3,49,Terror,3.7
2,2018-02-08,Netflix,Alemanha,101.7,73,Terror,5.0
2,2018-03-25,Netflix,Alemanha,71.1,52,Terror,4.3
2,2018-04-21,Netflix,Alemanha,44.9,31,Terror,3.3
2,2018-05-12,Netflix,Alemanha,53.1,36,Terror,4.5
2,2018-06-12,Netflix,Alemanha,43.0,25,Terror,4.0
2,2018-07-13,Netflix,Alemanha,49.8,38,Terror,4.2
2,2018-08-31,Netflix,Alemanha,68.7,41,Terror,4.5
2,2018-09-19,Netflix,Alemanha,47.4,27,Terror,3.9
2,2018-10-02,Netflix,Alemanha,37.4,28,Terror,4.3
2,2018-11-20,Netflix,Alemanha,43.4,26,Terror,3.5
2,2018-12-05,Netflix,Alemanha,72.5,47,Terror,4.3
3,2018-01-22,HBO Max,Brasil,40.4,24,Drama,3.6
3,2018-02-15,HBO Max,Brasil,57.4,37,Drama,4.2
3,2018-03-31,HBO Max,Brasil,0.0,0,Drama,3.8
3,2018-04-12,HBO Max,Brasil,13.7,8,Drama,4.1
3,2018-05-12,HBO Max,Brasil,31.7,21,Drama,4.0
3,2018-06-15,HBO Max,Brasil,23.2,17,Drama,4.0
3,2018-07-25,HBO Max,Brasil,22.9,12,Drama,3.5
3,2018-08-03,HBO Max,Brasil,42.5,24,Drama,4.4
3,2018-09-19,HBO Max,Brasil,27.1,15,Drama,4.0
3,2018-10-05,HBO Max,Brasil,55.6,31,Drama,4.1
3,2018-11-17,HBO Max,Brasil,24.5,17,Drama,3.6
3,2018-12-12,HBO Max,Brasil,54.1,31,Drama,3.9
4,2018-01-13,Netflix,Brasil,60.1,39,Drama,4.0
4,2018-02-11,Netflix,Brasil,54.1,36,Drama,3.9
4,2018-03-21,Netflix,Brasil,57.6,36,Drama,4.2
4,2018-04-09,Netflix,Brasil,45.9,25,Drama,4.5
4,2018-05-08,Netflix,Brasil,31.2,21,Drama,3.8
4,2018-06-04,Netflix,Brasil,61.5,39,Drama,3.9
4,2018-07-01,Netflix,Brasil,57.1,41,Drama,4.2
4,2018-08-24,Netflix,Brasil,65.1,45,Drama,4.1
4,2018-09-06,Netflix,Brasil,77.1,54,Drama,4.6
4,2018-10-16,Netflix,Brasil,48.0,29,Drama,4.5
4,2018-11-17,Netflix,Brasil,68.8,51,Drama,5.0
4,2018-12-13,Netflix,Brasil,52.6,37,Drama,4.4
5,2018-01-30,Netflix,Brasil,61.5,37,Terror,3.9
5,2018-02-18,Netflix,Brasil,60.1,42,Terror,4.0
5,2018-03-04,Netflix,Brasil,44.1,26,Terror,4.1
5,2018-04-09,Netflix,Brasil,69.3,50,Terror,4.1
5,2018-05-25,Netflix,Brasil,48.3,27,Terror,3.9
5,2018-06-09,Netflix,Brasil,54.6,33,Terror,4.3
5,2018-07-23,Netflix,Brasil,63.4,40,Terror,4.7
5,2018-08-15,Netflix,Brasil,55.1,31,Terror,4.0
5,2018-09-07,Netflix,Brasil,63.9,43,Terror,4.5
5,2018-10-20,Netflix,Brasil,79.5,45,Terror,3.9
5,2018-11-10,Netflix,Brasil,63.8,39,Terror,4.3
5,2018-12-23,Netflix,Brasil,63.4,48,Terror,4.5
6,2018-01-30,Prime Video,Brasil,47.9,36,Drama,3.7
6,2018-02-16,Prime Video,Brasil,46.7,28,Drama,3.5
6,2018-03-07,Prime Video,Brasil,33.1,19,Drama,4.1
6,2018-04-04,Prime Video,Brasil,37.5,22,Drama,3.4
6,2018-05-05,Prime Video,Brasil,54.6,33,Drama,4.2
6,2018-06-28,Prime Video,Brasil,36.3,24,Drama,3.9
6,2018-07-03,Prime Video,Brasil,36.1,20,Drama,3.5
6,2018-08-15,Prime Video,Brasil,53.8,33,Drama,3.9
6,2018-09-06,Prime Video,Brasil,45.1,28,Drama,4.5
6,2018-10-29,Prime Video,Brasil,30.9,18,Drama,3.8
6,2018-11-23,Prime Video,Brasil,34.3,19,Drama,4.0
6,2018-12-15,Prime Video,Brasil,43.8,24,Drama,4.2
7,2018-01-03,HBO Max,Brasil,22.3,12,Documentário,3.1
7,2018-02-26,HBO Max,Brasil,21.1,13,Documentário,3.5
7,2018-03-22,HBO Max,Brasil,37.6,23,Documentário,4.0
7,2018-04-28,HBO Max,Brasil,38.5,21,Documentário,3.6
7,2018-05-11,HBO Max,Brasil,35.9,20,Documentário,3.4
7,2018-06-22,HBO Max,Brasil,48.1,29,Documentário,4.4
7,2018-07-12,HBO Max,Brasil,14.3,8,Documentário,3.3
7,2018-08-23,HBO Max,Brasil,39.6,22,Documentário,4.0
7,2018-09-03,HBO Max,Brasil,42.7,25,Documentário,5.0
7,2018-10-18,HBO Max,Brasil,55.0,32,Documentário,4.4
7,2018-11-18,HBO Max,Brasil,30.3,20,Documentário,4.1
7,2018-12-10,HBO Max,Brasil,37.5,28,Documentário,3.5
8,2018-01-29,Disney+,EUA,67.8,46,Ação,3.4
8,2018-02-10,Disney+,EUA,35.0,26,Ação,3.9
8,2018-03-28,Disney+,EUA,34.3,25,Ação,4.3
8,2018-04-06,Disney+,EUA,58.7,41,Ação,4.1
8,2018-05-23,Disney+,EUA,31.2,23,Ação,3.9
8,2018-06-23,Disney+,EUA,68.7,42,Ação,4.9
8,2018-07-30,Disney+,EUA,15.7,9,Ação,3.7
8,2018-08-23,Disney+,EUA,34.7,25,Ação,3.2
8,2018-09-21,Disney+,EUA,46.1,30,Ação,4.3
8,2018-10-06,Disney+,EUA,36.0,25,Ação,3.7
8,2018-11-26,Disney+,EUA,61.2,37,Ação,4.3
8,2018-12-12,Disney+,EUA,44.5,27,Ação,4.6
9,2018-01-17,Apple TV+,EUA,9.8,6,Ação,3.4
9,2018-02-08,Apple TV+,EUA,22.6,16,Ação,4.5
9,2018-03-04,Apple TV+,EUA,0.0,0,Ação,3.1
9,2018-04-07,Apple TV+,EUA,5.1,3,Ação,3.0
9,2018-05-26,Apple TV+,EUA,20.6,13,Ação,3.8
9,2018-06-05,Apple TV+,EUA,25.6,14,Ação,4.7
9,2018-07-08,Apple TV+,EUA,15.2,11,Ação,3.8
9,2018-08-26,Apple TV+,EUA,23.0,14,Ação,3.8
9,2018-09-16,Apple TV+,EUA,26.1,17,Ação,4.0
9,2018-10-01,Apple TV+,EUA,18.8,11,Ação,4.5
9,2018-11-12,Apple TV+,EUA,23.5,13,Ação,4.0
9,2018-12-18,Apple TV+,EUA,20.1,13,Ação,3.8
